season,episode,dialouge
1,1,"Mom, Dad, I found cigarettes
"
1,1,"in Greg's jacket.
"
,,
1,1," Greg, were you smoking cigarettes?
"
,,
1,1," No, Dad.
"
,,
1,1,"He's lying. There's no doubt about that.
"
,,
1,1,"Greg, I'm afraid your punishment
"
,,
1,1,"will be four hours in the snakepit.
"
,,
1,1,"That'll give you time to think about
"
,,
1,1,"what you did.
"
,,
1,1,"Man!
"
,,
1,1,"That'll teach him.
"
,,
1,1,"Jan, I'm afraid you've earned
"
,,
1,1,"a day in the fire chamber...
"
,,
1,1,"...for tattling on your brother.
"
,,
1,1,"Smoking. How does
"
,,
1,1,"a boy like that go so wrong?
"
,,
1,1," They live in a crummy neighborhood.
"
,,
1,1," The Bradys?
"
,,
1,1,"Yeah. They got robbers, thugs,
"
,,
1,1,"drug dealers. You name it.
"
,,
1,1,"You folks want some pancakes?
"
,,
1,1,"No, thanks. See, that's the worst
"
,,
1,1,"we got is Jemima's Witnesses.
"
,,
1,1,"""It seems today that all you see
"
,,
1,1,"""is violence in movies and sex on TV
"
,,
1,1,"""But where are those good,
"
,,
1,1,"old-fashioned values
"
,,
1,1,"""on which we used to rely?
"
,,
1,1,"""Lucky there's a family guy
"
,,
1,1,"""Lucky there's a man who'll
"
,,
1,1,"positively tell you
"
,,
1,1,"""all the things that make us
"
,,
1,1,"""laugh 'n' cry
"
,,
1,1,"""He's a family guy""
"
,,
1,1,"Mom, my lips are too thin.
"
,,
1,1,"Can I please get collagen injections?
"
,,
1,1,"Meg, you don't need to change
"
,,
1,1,"the way you look.
"
,,
1,1,"You know, most of the world's problems
"
,,
1,1,"stem from poor self-image.
"
,,
1,1,"Excellent! The mind-control device
"
,,
1,1,"is nearing completion!
"
,,
1,1,"Stewie, I said no toys at the table.
"
,,
1,1,"Damn you, vile woman!
"
,,
1,1,"You've impeded my work since the day
"
,,
1,1,"I escaped from your wretched womb.
"
,,
1,1,"Don't pout, honey. When you were born...
"
,,
1,1,"...the doctor said you were
"
,,
1,1,"the happiest looking baby he'd ever seen.
"
,,
1,1,"But, of course. That was my victory day.
"
,,
1,1,"The fruition of my deeply-laid plans...
"
,,
1,1,"...to escape from that cursed ovarian
"
,,
1,1,"bastille! Return the device, woman!
"
,,
1,1,"No toys, Stewie.
"
,,
1,1,"Very well, then.
"
,,
1,1,"Mark my words, when you least expect it,
"
,,
1,1,"your uppance will come!
"
,,
1,1,"Mom, can I turn the heat up?
"
,,
1,1,"Don't touch the thermostat, Meg.
"
,,
1,1,"Your father gets upset.
"
,,
1,1,"Come on. This thing goes up to 90.
"
,,
1,1,"Who touched the thermostat?
"
,,
1,1,"God, how does he always know?
"
,,
1,1,"Brain implant, Meg. Every father's got one.
"
,,
1,1,"Tells you when the kids mess with the dial.
"
,,
1,1,"My thing went off!
"
,,
1,1,"Your thermostat okay?
"
,,
1,1," Yeah, it's all right.
"
,,
1,1," Is my kid over here?
"
,,
1,1,"Forget it! False alarm!
"
,,
1,1,"Ass ahoy.
"
,,
1,1,"Peter, it's 7:00 and you've still got
"
,,
1,1,"your pants on. What's the occasion?
"
,,
1,1,"He's going to a stag party.
"
,,
1,1,"Lois, I work hard all week
"
,,
1,1,"to provide for this family.
"
,,
1,1,"I am the man of the house.
"
,,
1,1,"As the man, I order you
"
,,
1,1,"to give me permission to go to this party.
"
,,
1,1,"Look, at least promise me you won't drink.
"
,,
1,1,"Alcohol always leads to trouble.
"
,,
1,1,"Come on. You're worrying about nothing.
"
,,
1,1,"Remember when you got drunk
"
,,
1,1,"off the Communion wine at church?
"
,,
1,1,"And so the Lord God smote poor Job...
"
,,
1,1,"...with festering boils all over his body.
"
,,
1,1,"Man, I hate it when he tells this story.
"
,,
1,1,"Yet, miraculously,
"
,,
1,1,"Job was still able to retain his dignity.
"
,,
1,1," Is that really the blood of Christ?
"
,,
1,1," Yes.
"
,,
1,1,"Man, that guy must've been wasted
"
,,
1,1,"And then there was that time
"
,,
1,1,"at the ice cream store.
"
,,
1,1,"Butter Rum's my favorite.
"
,,
1,1,"Remember you had an Irish coffee
"
,,
1,1,"the day we went to see Philadelphia?
"
,,
1,1,"I got it. That's the guy from Big.
"
,,
1,1,"Tom Hanks, that's it.
"
,,
1,1,"Funny guy, Tom Hanks.
"
,,
1,1,"Everything he says is a stitch.
"
,,
1,1,"I have AIDS.
"
,,
1,1," Promise me, Peter.
"
,,
1,1," Lois, honey, I promise.
"
,,
1,1,"Not a drop of alcohol is gonna touch
"
,,
1,1,"these lips tonight.
"
,,
1,1,"Who wants to play Drink The Beer?
"
,,
1,1,"Right here.
"
,,
1,1," You win.
"
,,
1,1," All right. What do I win?
"
,,
1,1,"Another beer!
"
,,
1,1,"I'm going for the high score!
"
,,
1,1,"Actually, Charlie's got the high score.
"
,,
1,1,"Man. Your clock won't flush.
"
,,
1,1,"I feel kind of bad, guys.
"
,,
1,1,"I promised my wife I wouldn't drink.
"
,,
1,1," Don't feel bad, Peter.
"
,,
1,1," Gee. I never thought of it like that.
"
,,
1,1,"Did you bring the porno?
"
,,
1,1,"Did I bring the porno?
"
,,
1,1,"You're gonna love it. It's a classic.
"
,,
1,1,"Listen, Ilsa. If I take this thing out...
"
,,
1,1,"...and you're not on it, you'll regret it.
"
,,
1,1,"Not today or tomorrow.
"
,,
1,1,"But soon, and for the rest of your life.
"
,,
1,1,"Come on, llsa! Get on it!
"
,,
1,1,"The statue was a gift from France.
"
,,
1,1,"What is this?
"
,,
1,1,"Man. My kid must've taped
"
,,
1,1,"over this for history class.
"
,,
1,1,"The Statue of Liberty?
"
,,
1,1,"What are we gonna do?
"
,,
1,1," Boys, we're gonna drink till she's hot.
"
,,
1,1," That's just crazy enough to work.
"
,,
1,1,"Meg, finish your pancakes.
"
,,
1,1," Chris, elbows off your father.
"
,,
1,1," Thanks, son.
"
,,
1,1,"a great example for the kids, Peter.
"
,,
1,1,"Yeah. A new family record.
"
,,
1,1,"Way to raise the bar, Dad.
"
,,
1,1,"Chris, you're 13. Don't talk like that.
"
,,
1,1,"Kids, Daddy only drank
"
,,
1,1,"so the Statue of Liberty...
"
,,
1,1,"...would take her clothes off.
"
,,
1,1," What did you promise me last night?
"
,,
1,1," I wouldn't drink at the stag party.
"
,,
1,1," And what did you do?
"
,,
1,1," Drank at the stag...
"
,,
1,1,"I almost walked right into that one. God!
"
,,
1,1,"Feels like accountants
"
,,
